,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
787,Ens    ame ,Bad Bunny,1,2022,5,6,1112,3,279737940.0,7,25,12.0,0,0.0,105,G#,Major,81,77,79,19,0,47,8
788,El Apag ,Bad Bunny,1,2022,5,6,1209,0,212351890.0,9,7,14.0,0,1.0,118,G#,Major,63,60,70,5,0,9,31
790,Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,150500965.0,35,0,3.0,0,0.0,158,B,Major,83,41,65,0,10,11,8
791,Agosto,Bad Bunny,1,2022,5,6,897,0,246127838.0,6,20,8.0,0,0.0,115,C#,Minor,85,72,58,9,0,49,12
794,That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0,212109195.0,16,81,23.0,0,0.0,130,E,Major,91,91,96,3,0,3,9
797,SUPERMODEL,M  ne,1,2022,5,13,2265,0,231657891.0,93,12,173.0,11,3.0,121,G,Major,64,80,88,0,0,12,6
804,Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717.0,16,11,18.0,0,0.0,140,B,Minor,84,61,42,31,0,9,9
807,Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,349,6,284249832.0,10,22,3.0,0,0.0,92,B,Minor,71,67,60,7,0,6,4
809,TUS L  GR,"Sech, Mora",2,2022,4,1,1308,2,184622518.0,23,16,9.0,0,5.0,174,C#,Major,68,45,71,18,0,11,25
810,Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,300983101.0,135,74,119.0,1,18.0,127,A#,Major,77,53,78,19,0,29,4
812,Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,106919680.0,26,1,17.0,0,0.0,150,G#,Minor,82,82,66,13,0,11,6
813,ZOOM,Jessi,1,2022,4,13,608,0,136996305.0,5,29,14.0,0,0.0,100,F#,Major,87,46,60,1,0,13,16
814,SloMo,Chanel,1,2021,12,24,1211,0,65719930.0,31,0,19.0,0,2.0,105,C#,Minor,73,59,81,13,0,9,6
815,FEARLESS,LE SSERAFIM,1,2022,5,2,629,0,229497852.0,18,75,9.0,0,0.0,104,G,Major,86,43,62,5,0,13,14
820,The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,71423324.0,29,0,30.0,0,0.0,98,G#,Minor,76,79,81,18,0,6,34
825,Yet To Come,BTS,1,2022,6,10,829,0,302006641.0,32,110,26.0,0,0.0,172,C#,Major,56,68,89,4,0,33,19
826,Run BTS,BTS,1,2022,6,10,736,0,330881149.0,5,132,17.0,0,3.0,77,G#,Major,72,70,82,2,0,4,17
830,Daylight,Harry Styles,1,2022,5,20,2775,0,290833204.0,21,11,40.0,0,0.0,146,Unknown,Major,69,63,45,48,0,18,4
831,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0,448500832.0,79,13,93.0,0,17.0,160,G#,Minor,80,74,60,8,0,14,26
833,Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,190625045.0,73,45,119.0,0,0.0,100,B,Minor,82,76,70,16,0,8,5
834,Born Singer,BTS,1,2022,6,10,279,0,79095270.0,0,18,6.0,0,0.0,158,G#,Minor,60,68,84,4,0,24,11
836,La Llevo Al Cielo (Ft.   engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,3,333146475.0,36,1,31.0,0,1.0,170,A,Minor,80,77,85,11,0,17,14
839,Pass The Dutchie,Musical Youth,1,1982,1,1,5328,0,195918494.0,54,76,900.0,0,0.0,151,G,Major,73,88,67,20,0,32,5
